Type,Entries,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2014,2015,2016,2017
CUKAI LANGSUNG/DIRECT TAX,Perseorangan/Individuals,489,517,559,585,800,1164,1163,1336,1624,1804,2530,2754,2619,3450,3432,3920,3446,2783,3146,3402,4497,5352,7524,8551,10562,11706,14166,16688,17294,15742,13905,20771,24642,23990,24388,26381,26477,32149,37741,30199,36266,46888,51288,24423,26321,27566,29853
CUKAI LANGSUNG/DIRECT TAX,Syarikat-syarikat/Companies,168,168,182,218,355,438,574,679,771,1041,983,1087,1360,1814,1975,1749,1761,1812,1779,2043,2506,2989,3441,4248,4567,6203,6172,6429,6900,6419,7015,9436,9889,7984,8977,8649,10196,11661,14966,15590,17805,20203,22977,65240,63679,63625,69193
CUKAI LANGSUNG/DIRECT TAX,Petroleum/Petroleum,-,-,-,-,144,322,322,776,771,829,1736,1978,2075,1998,2570,3130,3072,1533,2208,1847,2644,4052,3417,2859,2211,2185,2203,3861,4046,2856,6010,9859,7636,8466,11479,14566,20674,20453,24191,27231,18713,27748,33934,26956,11559,8422,10637
CUKAI LANGSUNG/DIRECT TAX,Pegangan dan lain-lain/Withholding and others,-,-,-,-,-,-,-,-,1,-,-,-,-,4,4,9,10,2,3,3,3,4,4,3,69,89,120,143,129,142,87,71,69,62,1275,1193,1428,1395,1577,1897,1667,1893,2463,2377,2426,2695,2690
CUKAI LANGSUNG/DIRECT TAX,Duti Harta Pusaka/Estate Duty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,1,2,2,1,2, - 
CUKAI LANGSUNG/DIRECT TAX,Duti Setem/Stamp Duty,17,20,27,48,45,47,56,65,93,119,182,207,248,338,371,340,246,257,278,421,645,720,770,1215,2515,2192,2708,2714,1190,1566,1799,1649,1733,2008,2381,2460,2522,3404,3492,3349,4192,4929,5595,6458,5974,5688,6440
CUKAI LANGSUNG/DIRECT TAX,RPGT/Real Property Gains Tax,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,110,42,303,509,608,1210,1729,1492,1846
CUKAI LANGSUNG/DIRECT TAX,Lain-lain/Others,11,16,35,29,39,19,23,45,40,42,64,86,96,108,93,111,119,81,95,77,107,134,247,194,236,324,482,597,456,521,340,312,382,506,202,295,276,334,60,62,62,70,71,77,81,118,80
CUKAI TAK LANGSUNG/INDIRECT TAX,Duti Eksport/Export Duties,259,231,232,437,943,625,1010,1390,1463,1939,2567,2225,1720,1892,2090,1839,1141,1267,1395,1588,1970,2029,1689,1464,1158,853,1041,1054,623,670,1032,867,804,1156,1599,2086,2361,2322,2779,1152,1810,2081,1968,1893,1039,980,731
