"Type","Entries","Year","Value"
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1970",198
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1970",20
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1970",100
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1970",80
"EKONOMI/ECONOMIC","Perhubungan/Communications","1970",53
"EKONOMI/ECONOMIC","Lain-lain/Others","1970",0
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1970",44
"SOSIAL/SOCIAL","Kesihatan/Health","1970",20
"SOSIAL/SOCIAL","Perumahan/Housing","1970",11
"SOSIAL/SOCIAL","Lain-lain/Others","1970",5
"KESELAMATAN/SECURITY","Pertahanan/Defence","1970",172
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1970",0
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1970",22
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1971",235
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1971",31
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1971",260
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1971",148
"EKONOMI/ECONOMIC","Perhubungan/Communications","1971",29
"EKONOMI/ECONOMIC","Lain-lain/Others","1971",0
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1971",86
"SOSIAL/SOCIAL","Kesihatan/Health","1971",23
"SOSIAL/SOCIAL","Perumahan/Housing","1971",27
"SOSIAL/SOCIAL","Lain-lain/Others","1971",8
"KESELAMATAN/SECURITY","Pertahanan/Defence","1971",217
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1971",0
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1971",21
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1972",307
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1972",42
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1972",177
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1972",234
"EKONOMI/ECONOMIC","Perhubungan/Communications","1972",76
"EKONOMI/ECONOMIC","Lain-lain/Others","1972",0
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1972",112
"SOSIAL/SOCIAL","Kesihatan/Health","1972",27
"SOSIAL/SOCIAL","Perumahan/Housing","1972",15
"SOSIAL/SOCIAL","Lain-lain/Others","1972",17
"KESELAMATAN/SECURITY","Pertahanan/Defence","1972",184
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1972",27
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1972",24
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1973",334
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1973",49
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1973",180
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1973",184
"EKONOMI/ECONOMIC","Perhubungan/Communications","1973",39
"EKONOMI/ECONOMIC","Lain-lain/Others","1973",0
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1973",142
"SOSIAL/SOCIAL","Kesihatan/Health","1973",34
"SOSIAL/SOCIAL","Perumahan/Housing","1973",12
"SOSIAL/SOCIAL","Lain-lain/Others","1973",12
"KESELAMATAN/SECURITY","Pertahanan/Defence","1973",70
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1973",40
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1973",32
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1974",436
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1974",55
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1974",462
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1974",314
"EKONOMI/ECONOMIC","Perhubungan/Communications","1974",46
"EKONOMI/ECONOMIC","Lain-lain/Others","1974",0
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1974",187
"SOSIAL/SOCIAL","Kesihatan/Health","1974",42
"SOSIAL/SOCIAL","Perumahan/Housing","1974",33
"SOSIAL/SOCIAL","Lain-lain/Others","1974",15
"KESELAMATAN/SECURITY","Pertahanan/Defence","1974",148
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1974",94
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1974",46
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1975",506
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1975",118
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1975",223
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1975",486
"EKONOMI/ECONOMIC","Perhubungan/Communications","1975",65
"EKONOMI/ECONOMIC","Lain-lain/Others","1975",0
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1975",212
"SOSIAL/SOCIAL","Kesihatan/Health","1975",57
"SOSIAL/SOCIAL","Perumahan/Housing","1975",31
"SOSIAL/SOCIAL","Lain-lain/Others","1975",28
"KESELAMATAN/SECURITY","Pertahanan/Defence","1975",116
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1975",113
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1975",196
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1976",514
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1976",133
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1976",296
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1976",561
"EKONOMI/ECONOMIC","Perhubungan/Communications","1976",46
"EKONOMI/ECONOMIC","Lain-lain/Others","1976",0
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1976",227
"SOSIAL/SOCIAL","Kesihatan/Health","1976",47
"SOSIAL/SOCIAL","Perumahan/Housing","1976",29
"SOSIAL/SOCIAL","Lain-lain/Others","1976",13
"KESELAMATAN/SECURITY","Pertahanan/Defence","1976",338
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1976",97
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1976",77
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1977",591
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1977",250
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1977",417
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1977",652
"EKONOMI/ECONOMIC","Perhubungan/Communications","1977",219
"EKONOMI/ECONOMIC","Lain-lain/Others","1977",0
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1977",274
"SOSIAL/SOCIAL","Kesihatan/Health","1977",44
"SOSIAL/SOCIAL","Perumahan/Housing","1977",122
"SOSIAL/SOCIAL","Lain-lain/Others","1977",12
"KESELAMATAN/SECURITY","Pertahanan/Defence","1977",351
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1977",119
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1977",166
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1978",716
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1978",339
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1978",601
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1978",637
"EKONOMI/ECONOMIC","Perhubungan/Communications","1978",236
"EKONOMI/ECONOMIC","Lain-lain/Others","1978",0
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1978",252
"SOSIAL/SOCIAL","Kesihatan/Health","1978",48
"SOSIAL/SOCIAL","Perumahan/Housing","1978",294
"SOSIAL/SOCIAL","Lain-lain/Others","1978",20
"KESELAMATAN/SECURITY","Pertahanan/Defence","1978",316
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1978",175
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1978",148
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1979",877
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1979",395
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1979",348
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1979",675
"EKONOMI/ECONOMIC","Perhubungan/Communications","1979",216
"EKONOMI/ECONOMIC","Lain-lain/Others","1979",0
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1979",339
"SOSIAL/SOCIAL","Kesihatan/Health","1979",59
"SOSIAL/SOCIAL","Perumahan/Housing","1979",427
"SOSIAL/SOCIAL","Lain-lain/Others","1979",137
"KESELAMATAN/SECURITY","Pertahanan/Defence","1979",530
"KESELAMATAN/SECURITY","Keselamatan dalam negeri /Internal Security ","1979",183
"PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","PENTADBIRAN AWAM2/GENERAL ADMINISTRATION2","1979",95
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar/Agriculture and rural development","1980",1138
"EKONOMI/ECONOMIC","Kemudahan awam1/Public utilities1","1980",665
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1980",1554
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1980",1031
"EKONOMI/ECONOMIC","Perhubungan/Communications","1980",428
"EKONOMI/ECONOMIC","Lain-lain/Others","1980",0
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1980",558
"SOSIAL/SOCIAL","Kesihatan/Health","1980",80
"SOSIAL/SOCIAL","Perumahan/Housing","1980",295
