"Type","Entries","Year","Value"
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1970",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1970",53
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1970",0
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1970",10
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1970",46
"EKONOMI/ECONOMIC","Perhubungan/Communications","1970",0
"EKONOMI/ECONOMIC","Lain-lain/Others","1970",6
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1970",477
"SOSIAL/SOCIAL","Kesihatan/Health","1970",155
"SOSIAL/SOCIAL","Perumahan/Housing","1970",0
"SOSIAL/SOCIAL","Lain-lain/Others","1970",118
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1970",0
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1970",0
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1970",270
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1970",533
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1971",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1971",60
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1971",0
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1971",13
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1971",57
"EKONOMI/ECONOMIC","Perhubungan/Communications","1971",0
"EKONOMI/ECONOMIC","Lain-lain/Others","1971",10
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1971",536
"SOSIAL/SOCIAL","Kesihatan/Health","1971",211
"SOSIAL/SOCIAL","Perumahan/Housing","1971",0
"SOSIAL/SOCIAL","Lain-lain/Others","1971",83
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1971",0
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1971",0
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1971",239
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1971",609
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1972",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1972",70
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1972",0
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1972",18
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1972",49
"EKONOMI/ECONOMIC","Perhubungan/Communications","1972",0
"EKONOMI/ECONOMIC","Lain-lain/Others","1972",15
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1972",798
"SOSIAL/SOCIAL","Kesihatan/Health","1972",234
"SOSIAL/SOCIAL","Perumahan/Housing","1972",0
"SOSIAL/SOCIAL","Lain-lain/Others","1972",120
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1972",0
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1972",0
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1972",272
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1972",718
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1973",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1973",55
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1973",0
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1973",23
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1973",30
"EKONOMI/ECONOMIC","Perhubungan/Communications","1973",0
"EKONOMI/ECONOMIC","Lain-lain/Others","1973",31
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1973",805
"SOSIAL/SOCIAL","Kesihatan/Health","1973",257
"SOSIAL/SOCIAL","Perumahan/Housing","1973",0
"SOSIAL/SOCIAL","Lain-lain/Others","1973",114
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1973",0
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1973",0
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1973",410
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1973",713
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1974",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1974",161
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1974",0
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1974",42
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1974",95
"EKONOMI/ECONOMIC","Perhubungan/Communications","1974",0
"EKONOMI/ECONOMIC","Lain-lain/Others","1974",15
"SOSIAL/SOCIAL","Pendidikan dan latihan/Education and training","1974",1051
"SOSIAL/SOCIAL","Kesihatan/Health","1974",313
"SOSIAL/SOCIAL","Perumahan/Housing","1974",0
"SOSIAL/SOCIAL","Lain-lain/Others","1974",159
"KESELAMATAN/ SECURITY","Pertahanan/Defence","1974",0
"KESELAMATAN/ SECURITY","Keselamatan dalam negeri/Internal security","1974",0
"PENTADBIRAN AM1/GENERAL ADMINISTRATION1","PENTADBIRAN AM1/GENERAL ADMINISTRATION1","1974",436
"LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","LAIN-LAIN PERBELANJAAN2/OTHER EXPENDITURES2","1974",943
"EKONOMI/ECONOMIC","Pertanian dan pembangunan luar bandar","1975",0
"EKONOMI/ECONOMIC","Agriculture and rural development","1975",108
"EKONOMI/ECONOMIC","Kemudahan awam/Public utilities","1975",0
"EKONOMI/ECONOMIC","Perdagangan dan perindustrian/Trade and industry","1975",75
"EKONOMI/ECONOMIC","Pengangkutan/Transport","1975",45
"EKONOMI/ECONOMIC","Perhubungan/Communications","1975",0
"EKONOMI/ECONOMIC","Lain-lain/Others","1975",38
