"Type","Entries","Year","Value"
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1970",489
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1970",168
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1970",0
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1970",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1970",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1970",17
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1970",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1970",11
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1970",259
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1970",558
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1970",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1970",249
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1970",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1970",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1970",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1970",89
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1970",0
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1970",0
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1970",169
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1970",0
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1970",360
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1970",31
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1970",0
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1970",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1971",517
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1971",168
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1971",0
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1971",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1971",0
